iter	MultiClass
0	0.8654859683
1	0.5952134136
2	0.4492566069
3	0.35020465
4	0.2739092522
5	0.220641138
6	0.1844264378
7	0.1509946985
8	0.1253658694
9	0.1077529627
10	0.09501273867
11	0.08199525903
12	0.07256901683
13	0.06277725716
14	0.05583125023
15	0.04878751407
16	0.04481565963
17	0.04068829245
18	0.03717155098
19	0.03456122092
20	0.03206150896
21	0.0289470076
22	0.0271470805
23	0.02525552692
24	0.02422380952
25	0.02283133992
26	0.02167487196
27	0.02061555985
28	0.01931408506
29	0.0183466839
30	0.01765591051
31	0.01703765096
32	0.01653587226
33	0.01600850877
34	0.01554991656
35	0.01508979516
36	0.01477619934
37	0.01432201747
38	0.01388331393
39	0.01369585456
40	0.01336690661
41	0.01309639932
42	0.01264244242
43	0.01223907266
44	0.0120215165
45	0.01181419836
46	0.01154103186
47	0.01131877968
48	0.01105453321
49	0.01090559964
50	0.01080753314
51	0.01050710426
52	0.01039087413
53	0.01027136361
54	0.009995002035
55	0.009852740248
56	0.009652671582
57	0.009569471371
58	0.009464247229
59	0.009376861262
60	0.009265395047
61	0.009177429868
62	0.009100898652
63	0.009033308564
64	0.008929017807
65	0.008861106661
66	0.008753815505
67	0.008665639624
68	0.008591475396
69	0.008541611714
70	0.008476595431
71	0.008426703524
72	0.008355273879
73	0.008296258252
74	0.008208560239
75	0.008169441337
76	0.008124397426
77	0.008054186867
78	0.008007379936
79	0.007959132285
80	0.007918286705
81	0.007868148538
82	0.007794493859
83	0.007738198803
84	0.007686242885
85	0.007645885392
86	0.007619041703
87	0.007589501709
88	0.00755380179
89	0.007499636391
90	0.007449876605
91	0.007419365843
92	0.007370154131
93	0.007311378241
94	0.007249571546
95	0.007199063282
96	0.007158051905
97	0.007132816242
98	0.007109165876
99	0.007074747918
100	0.007022811402
101	0.006966177864
102	0.006938613073
103	0.006910263376
104	0.006880483946
105	0.006848613764
106	0.006827239324
107	0.006812560563
108	0.006792122314
109	0.006768065769
110	0.006740665815
111	0.006716121203
112	0.00669554576
113	0.006663464124
114	0.006644059501
115	0.006612187705
116	0.006589679227
117	0.006569820501
118	0.00654764806
119	0.006526133359
120	0.00650785126
121	0.006489596752
122	0.006475241016
123	0.006440179524
124	0.006421664483
125	0.006376893785
126	0.006357812659
127	0.006330947734
128	0.006295571605
129	0.006278222759
130	0.006251804168
131	0.006234067098
132	0.006221179143
133	0.00620574962
134	0.006189110991
135	0.006176099651
136	0.006163007754
137	0.006127184911
138	0.006112315432
139	0.006098240311
140	0.006076565139
141	0.006061463955
142	0.006017036451
143	0.006004307299
144	0.005992201123
145	0.005980057251
146	0.005945548466
147	0.005930240351
148	0.00591872558
149	0.005895143417
150	0.00588222181
151	0.005870969729
152	0.005864697417
153	0.005852469126
154	0.005842409587
155	0.005826917665
156	0.005810267573
157	0.005790399636
158	0.005767701391
159	0.005749780841
160	0.005736467748
161	0.005720501513
162	0.005699191514
163	0.005685145893
164	0.005675372704
165	0.005664961743
166	0.005655646073
167	0.005646558526
168	0.005636862245
169	0.005625318403
170	0.005618079867
171	0.005613524634
172	0.005596645865
173	0.005588695631
174	0.005562796283
175	0.005554206921
176	0.005544971234
177	0.005535015148
178	0.005514306752
179	0.005504198445
180	0.005495061928
181	0.005486951787
182	0.005471972546
183	0.005461094699
184	0.005451751434
185	0.005446662639
186	0.005424454484
187	0.005415763519
188	0.005404466156
189	0.005393863232
190	0.005383269147
191	0.005379784357
192	0.005372306368
193	0.005365153203
194	0.005351761695
195	0.005347102112
196	0.00534057553
197	0.005333656187
198	0.005322085951
199	0.005314748602
